Time (Seconds),ROI 28,ROI 29,ROI 54,ROI 33,ROI 83
0,0.09321267200000002,0.04186446199999999,0.04498627699999996,0.22921600599999997,0.039177277795755
1,0.08003691100000002,0.041337077,0.04492258199999999,0.22293144199999998,0.042783820550146984
2,0.06850700500000001,0.03937755500000001,0.04385135899999998,0.230321277,0.04105994036762603
3,0.063683504,0.03792511100000001,0.041174677999999965,0.213570198,0.041267328927015984
4,0.054648028000000015,0.04012379699999996,0.044966693,0.20049526299999998,0.04352692361964802
5,0.04337392700000001,0.03865878499999997,0.04378074999999998,0.198145387,0.03992281980005699
6,0.034138169000000024,0.038878941,0.045412622999999985,0.198607643,0.04187795935291702
7,0.027700582,0.042433061999999966,0.04207582700000001,0.19770982799999998,0.04495566386111802
8,0.028076863000000007,0.03959116800000001,0.044820850999999995,0.203633672,0.04310898169693603
9,0.021498868000000004,0.03950640299999997,0.04283421900000001,0.19647823999999997,0.04067165206408899
10,0.01609919400000001,0.040070783,0.04406844700000001,0.193832673,0.044155265580929
11,0.016504305000000025,0.038865965999999974,0.04387175799999998,0.19682371199999998,0.045969484385775
12,0.012845726000000002,0.042695525999999984,0.04368459199999997,0.18151431699999998,0.04264738750927202
13,0.009658913000000019,0.03963514800000001,0.040582593,0.18054646000000002,0.04345180388897399
14,0.011813823000000001,0.040434795999999995,0.04234867999999997,0.16849652799999998,0.042767174062941976
15,0.011074873000000013,0.04120203099999997,0.04389331599999996,0.16660412000000002,0.04361370342486401
16,0.007606186000000015,0.039182108999999965,0.04379562199999998,0.16643029199999998,0.04202389942731202
17,0.009825995000000004,0.040154719000000005,0.04546335499999998,0.15101644399999997,0.04456059054873898
18,0.0059296010000000066,0.03804719499999998,0.04515753,0.141869382,0.04505610528443402
19,0.007153444000000009,0.040373102999999966,0.044900314,0.13206777800000002,0.04243957785413502
20,0.008556543,0.03865731699999997,0.04682680299999997,0.12030079700000001,0.04728583523909599
21,0.007877852000000019,0.03906582999999997,0.04573896099999997,0.11685717700000003,0.04575680519830802
22,0.008696565000000017,0.03858232699999997,0.044832872999999995,0.11177239100000003,0.04339599117532203
23,0.008839603000000001,0.03909742199999999,0.060535618999999985,0.10680981500000003,0.04345946455464503
24,0.01450965500000001,0.03760616699999997,0.04136479700000001,0.09805524700000001,0.04484711196315502
25,0.0070061710000000055,0.04103056499999996,0.046341529999999964,0.095314815,0.041430246352486017
26,0.01843740400000002,0.04315858699999997,0.05192786899999996,0.087806518,0.045122981246077026
27,0.012809794000000013,0.04085569499999997,0.05195555599999996,0.081428638,0.04717591578755201
28,0.045070724000000006,0.040984664999999976,0.044727346,0.081420675,0.04495793246948801
29,0.023637958000000014,0.040127650000000015,0.043789197,0.066842142,0.046804067196790006
30,0.044282244,0.04411417099999998,0.044199969000000006,0.06959665100000001,0.045239420409103975
31,0.056887675,0.04250309099999999,0.04207989200000001,0.06443185000000001,0.04303409312224901
32,0.07508595300000001,0.04127710899999998,0.04350095799999998,0.056911387000000035,0.04447580503812801
33,0.114329598,0.04501530100000001,0.044074749999999996,0.05707776800000003,0.04348701981634398
34,0.236630574,0.03971313300000001,0.04115921899999997,0.058965512,0.041032279726175985
35,0.34474314100000003,0.04344053799999997,0.04259833199999996,0.05853336400000003,0.040387147976192
36,0.29841110400000004,0.044671986,0.044970218000000006,0.05167976000000002,0.03879351424059299
37,0.25551870200000004,0.03913419899999998,0.04402872599999996,0.05068072400000001,0.03894814056071502
38,0.21791630800000003,0.03791612,0.04588347399999998,0.05044420999999999,0.04030775596088801
