Time (Seconds),ROI 5,ROI 15,ROI 43,ROI 57,ROI 80
0,0.007599000000000022,0.025563000000000002,0.04034599999999999,0.0,0.0635
1,0.009673000000000015,0.027406000000000014,0.038689,0.0020036787186399896,0.07037100000000002
2,0.00972400000000001,0.024940000000000018,0.03146100000000002,0.004928959228234997,0.06140100000000001
3,0.009006000000000014,0.023168000000000022,0.021207000000000004,0.0019014867954990078,0.0476
4,0.00645900000000002,0.018157000000000006,0.012672000000000017,0.004970417105023994,0.039517000000000024
5,0.008742,0.01703200000000002,0.0,0.008028265590475009,0.03152100000000002
6,0.008621000000000018,0.014505000000000018,0.001366000000000006,0.008061848651606002,0.02560700000000002
7,0.010310000000000014,0.013683,0.012593999999999994,0.007611064324404004,0.022331000000000018
8,0.008884000000000003,0.014461000000000002,0.03017800000000001,0.005547758571208011,0.013232000000000022
9,0.007428000000000018,0.014967000000000008,0.0348,0.006288029924953004,0.017710000000000004
10,0.011236000000000024,0.01394200000000001,0.04347999999999999,0.008061464496394999,0.019378000000000006
11,0.008286000000000016,0.017536000000000024,0.032001,0.008807322047463012,0.025773000000000018
12,0.009243000000000001,0.021801000000000015,0.035596000000000017,0.008362639394805,0.022710000000000008
13,0.009048,0.01766000000000001,0.025303999999999993,0.00810922151211399,0.022118000000000027
14,0.010403000000000023,0.018664000000000014,0.02870600000000001,0.00791003876822799,0.012502000000000013
15,0.010149000000000019,0.021654000000000007,0.03,0.008447161078570992,0.019173000000000023
16,0.009218000000000004,0.03189500000000001,0.04605900000000002,0.010901399123501992,0.021791000000000005
17,0.006325999999999998,0.02694000000000002,0.05271600000000001,0.008533050133304992,0.02235000000000001
18,0.010004000000000013,0.02451500000000001,0.04999300000000001,0.006119973927600997,0.013274000000000008
19,0.007218000000000002,0.02222300000000002,0.047924999999999995,0.011285794751432987,0.015304000000000012
20,0.009326000000000001,0.029419,0.04045599999999999,0.009956241403072996,0.007713000000000025
21,0.008209000000000022,0.031681000000000015,0.020007999999999998,0.012049197590823013,0.00494
22,0.008606000000000003,0.03905,0.013888000000000011,0.010252178152490993,0.0
23,0.008875000000000022,0.02963400000000002,0.01341500000000001,0.011785981404780987,0.00027900000000000147
24,0.008295999999999998,0.049567,0.013122999999999996,0.009255255045159005,0.0020030000000000048
25,0.01139800000000002,0.04985400000000001,0.04699900000000001,0.010762702906292998,0.009810000000000013
26,0.00928000000000001,0.048305000000000015,0.094664,0.011604746771301994,0.011629
27,0.009084000000000009,0.064941,0.15522700000000003,0.010392637393347004,0.016582000000000013
28,0.010928000000000021,0.06445100000000001,0.22371,0.011419418084983007,0.030286000000000007
