Time,Single Release,Narrow Spike,Burst,Wide Spike
0,0.0038997740000000225,0.09321267200000002,0.04186446199999999,0.041005813
1,0.005645646000000004,0.08003691100000002,0.041337077,0.04036907000000001
2,0.006854526999999999,0.06850700500000001,0.03937755500000001,0.039929877
3,0.009091317000000015,0.063683504,0.03792511100000001,0.040915541
4,0.007049052,0.054648028000000015,0.04012379699999996,0.04304914799999998
5,0.003913571000000005,0.04337392700000001,0.03865878499999997,0.03661102500000002
6,0.005046419000000024,0.034138169000000024,0.038878941,0.037340761
7,0.005508463000000019,0.027700582,0.042433061999999966,0.03934642300000002
8,0.0,0.028076863000000007,0.03959116800000001,0.03902191199999999
9,0.004340703000000001,0.021498868000000004,0.03950640299999997,0.04140369999999999
10,0.0008935490000000212,0.01609919400000001,0.040070783,0.04142419000000003
11,0.003277245000000012,0.016504305000000025,0.038865965999999974,0.03750990500000001
12,0.006074369000000024,0.012845726000000002,0.042695525999999984,0.037034243999999994
13,0.006872284000000006,0.009658913000000019,0.03963514800000001,0.040938348999999985
14,0.005013847000000016,0.011813823000000001,0.040434795999999995,0.04107527900000002
15,0.002985458000000024,0.011074873000000013,0.04120203099999997,0.04135786899999999
16,0.00565496800000001,0.007606186000000015,0.039182108999999965,0.04119378200000001
17,0.0023716200000000187,0.009825995000000004,0.040154719000000005,0.03945662700000002
18,0.007525211000000004,0.0059296010000000066,0.03804719499999998,0.039119175000000006
19,0.0076412270000000004,0.007153444000000009,0.040373102999999966,0.039062551
20,0.008354057999999998,0.008556543,0.03865731699999997,0.03839138200000003
21,0.008662287000000018,0.007877852000000019,0.03906582999999997,0.03981074899999998
22,0.014431834000000004,0.008696565000000017,0.03858232699999997,0.04059700199999999
23,0.004583737000000004,0.008839603000000001,0.03909742199999999,0.040309537000000006
24,0.0044597440000000155,0.01450965500000001,0.03760616699999997,0.03909642000000002
25,0.019000771,0.0070061710000000055,0.04103056499999996,0.03639052599999998
26,0.006006069000000003,0.01843740400000002,0.04315858699999997,0.042740200000000006
27,0.010265967000000015,0.012809794000000013,0.04085569499999997,0.04026681999999998
28,0.008519231000000016,0.045070724000000006,0.040984664999999976,0.03731263400000001
29,0.018822227000000025,0.023637958000000014,0.040127650000000015,0.04061954499999998
30,0.053451196000000006,0.044282244,0.04411417099999998,0.04279227699999999
31,0.163868657,0.056887675,0.04250309099999999,0.04191067100000001
32,0.38858887100000006,0.07508595300000001,0.04127710899999998,0.04221246099999998
33,0.399231165,0.114329598,0.04501530100000001,0.04072187599999999
34,0.41483399,0.236630574,0.03971313300000001,0.03821381699999998
