,Time,WT,STIM1 KO\#1,STIM1 KO\#2,STIM2 KO\#1,STIM2 KO\#2
0,0.0,0.21292602083333337,0.22839514054054055,0.2086149555555555,0.2099574917127072,0.2094782834224598
1,0.029617,0.21398517708333328,0.22870621621621606,0.20771182222222212,0.2105010883977901,0.20935471122994662
2,0.062983,0.21358919270833343,0.23054549189189202,0.21030871666666665,0.21279511049723754,0.21031403208556143
3,0.096317,0.21391185937499993,0.2262927837837838,0.20614580555555553,0.2146373591160221,0.21245860427807486
4,0.1296,0.21392841666666673,0.22819257297297305,0.20643101111111115,0.2146318950276243,0.21129583422459888
5,0.162983,0.21344244270833335,0.22683428108108117,0.20528032777777783,0.21216056353591153,0.20980364705882365
6,0.196317,0.21610715104166678,0.22682607567567556,0.2070073388888889,0.21252716022099447,0.20905114438502667
7,0.229633,0.21466484375000003,0.22611446486486486,0.20504423888888887,0.21046503314917128,0.20855487700534758
8,0.262967,0.21486209375000007,0.22862571891891892,0.20694521666666674,0.20632753591160222,0.20647306417112296
9,0.296267,0.21283842187500002,0.22895024864864852,0.20709926111111113,0.20697219889502766,0.20601800534759368
10,0.329633,0.2145167916666667,0.22841358378378396,0.20747153888888886,0.20270936464088407,0.20357382887700523
11,0.36295,0.2135961458333333,0.2313754270270271,0.2118460444444444,0.2026572651933702,0.20462227807486644
12,0.396317,0.21210489062499985,0.23187443783783773,0.2099670444444445,0.2034956408839778,0.20450388770053476
13,0.429617,0.21327678125000005,0.2335270270270268,0.21220403888888897,0.203316182320442,0.202437
14,0.462967,0.2127378020833334,0.23103859999999998,0.2094186000000002,0.20238413812154685,0.2024898235294117
15,0.4963,0.21200549999999987,0.2278022216216217,0.20550443333333338,0.20200137016574585,0.2032454919786097
16,0.529617,0.21487963541666666,0.22845674054054046,0.2064979277777778,0.20353027624309392,0.20373267914438503
17,0.562917,0.2138416822916667,0.2269474810810812,0.20460840000000013,0.20426792265193386,0.2042035882352942
18,0.596283,0.21336601562500002,0.22439443243243248,0.2013725000000001,0.20391519337016584,0.20339554545454538
19,0.6296,0.2128023020833334,0.22789061081081088,0.20483249444444435,0.20840614917127073,0.20616305882352934
20,0.662933,0.2136004895833333,0.2304346702702703,0.2078583666666666,0.20855602762430941,0.2062904064171123
21,0.69625,0.21170586979166683,0.23479404324324324,0.2119183222222221,0.20439666850828722,0.20338544385026747
22,0.7296,0.21225237499999997,0.23024197837837834,0.20835677777777767,0.20665042541436454,0.2059707058823528
23,0.762933,0.21254778124999998,0.22680030810810814,0.20349438333333308,0.20199905524861891,0.20231993048128347
24,0.7963,0.21058637500000008,0.2316941297297298,0.20850318333333323,0.20596224309392258,0.2045791978609625
25,0.829583,0.21191615625000004,0.23214448648648658,0.20884328888888887,0.20126197237569055,0.2021341871657754
26,0.862933,0.21249991666666676,0.23391083783783784,0.207137572222222,0.20100544198895035,0.20230183422459888
27,0.896267,0.210096984375,0.2364831243243244,0.20897064444444466,0.1972142762430938,0.19956738502673796
28,0.929633,0.2108741510416667,0.2354786864864865,0.20859139444444444,0.19472846408839786,0.1991698556149733
29,0.96295,0.21277644270833337,0.2363812540540541,0.20966601111111133,0.1970959613259668,0.20070198395721917
30,0.996283,0.21221416666666656,0.23511269729729742,0.21121077222222226,0.19555253591160215,0.2001228716577539
31,1.0296,0.21336667708333343,0.22981119459459462,0.20543982222222218,0.19612193922651924,0.20021626737967904
32,1.062967,0.21131406770833341,0.22774994594594605,0.2050313944444444,0.19501879558011057,0.2000229679144386
33,1.096283,0.21142080729166676,0.2238009783783783,0.20074857777777785,0.20082568508287285,0.20423828342245978
34,1.1296,0.21121527604166668,0.2213671891891892,0.1985756444444444,0.20077739226519334,0.2042817005347595
35,1.162933,0.2115357968750001,0.21815194054054038,0.1968219333333333,0.19982623204419878,0.20377077540106947
36,1.196283,0.20940731250000014,0.21599951891891886,0.19522512777777767,0.1955585138121548,0.20117328877005344
37,1.229617,0.21264736458333336,0.21169535675675674,0.1915158388888888,0.1958621712707183,0.2001817593582886
38,1.26295,0.2113937916666667,0.2145480432432433,0.19723260000000004,0.19534386187845304,0.20019662566844915
39,1.296283,0.21175230208333318,0.2146818162162163,0.1981341222222222,0.19521653591160218,0.19993284491978602
40,1.329617,0.21004985416666666,0.2134301405405406,0.197986288888889,0.19328273480662994,0.1989970160427808
41,1.36295,0.21061445312500002,0.21321099459459444,0.1972370833333334,0.19477146408839788,0.1995090374331553
42,1.396283,0.2117658958333332,0.20725664324324308,0.19349900555555552,0.1911983149171269,0.1978431283422459
43,1.42955,0.21158683333333317,0.20834014594594602,0.19441186666666674,0.1920215193370167,0.19902932085561498
44,1.46295,0.20982914062499994,0.20755501081081085,0.19693904444444443,0.19242423756906085,0.19781249197860964
45,1.4963,0.21183862500000006,0.20943951891891902,0.20223999999999995,0.19292710497237578,0.1992415614973263
46,1.5296,0.20983665104166663,0.2068096432432431,0.19892127777777766,0.1910117403314917,0.19681678609625664
47,1.56295,0.21037245833333337,0.2099950054054055,0.202592488888889,0.19191539226519333,0.19779669518716586
48,1.596267,0.211998046875,0.208624108108108,0.20013728333333328,0.19255799999999995,0.19843963636363657
49,1.629617,0.21110642187499995,0.20611385405405425,0.1985778666666666,0.19262934806629822,0.19862011764705875
50,1.662933,0.2094785885416668,0.204407562162162,0.19572616666666676,0.1945211325966852,0.19990216042780745
51,1.696267,0.20969672395833353,0.18921782702702705,0.17926891111111118,0.1932987292817679,0.20186786096256698
52,1.729633,0.21104342708333332,0.20163968648648653,0.1951935,0.1992015027624309,0.20317665775401073
