,Time,WT,STIM1 KO\#1,STIM1 KO\#2,STIM2 KO\#1,STIM2 KO\#2
0,0.0,17.460070285729348,7.138948378768019,11.709001786104793,15.294564623808569,13.914598629928397
1,0.33145,13.5695583593652,7.562559370576524,12.294395828027705,14.978413314368359,15.027599010873425
2,0.6647,11.663282983600379,7.711037675552424,11.901460211181519,14.214007485428626,14.151682354433675
3,0.99805,12.324636102425547,7.865136836086132,12.307853250898923,15.213780095015444,14.866090096393123
4,1.33135,13.328625632359273,7.667326736167713,12.21428927178387,16.23210801325408,15.91628424184766
5,1.66475,10.27891151615771,7.586369411120247,12.935634107000096,13.195311382412903,12.39785056261531
6,1.99798333,11.569623384428342,7.703446977240718,12.582828974197701,14.139228092671958,13.818433643495876
7,2.33133333,11.209756508289702,8.017652316889272,12.381102297304965,13.881644262871356,13.63530898147869
8,2.6647,10.899284234194242,8.079066418615543,12.877378323699439,12.990004660118078,13.203282496568946
9,2.99796667,8.328109841256888,7.200596217766013,11.861546877799796,10.350238126679107,9.635067064564621
10,3.3314,7.575470491945536,7.49140559395095,12.73540098083395,10.354793772422001,9.126911961425066
11,3.66478333,6.836312972669667,7.439019526945991,12.466546326265176,8.530274918475277,8.154284639033818
12,3.99805,7.962916243085725,7.070981201280211,12.64953131992077,9.868235304842608,9.558811334244316
13,4.33213333,8.295039823415983,6.818900950849144,12.438951419889607,10.23655742250088,10.06676861666897
14,4.66478333,8.884098403580648,7.341754977329988,12.46641669000628,10.985292773168839,10.633442458455193
15,4.99803333,7.045947560794769,7.488881114097461,12.642005263620739,8.760724230664454,8.477081409344411
16,5.33148333,7.520137045574924,7.221578460353072,12.893935089314123,9.374118195532622,9.081881725136505
17,5.66473333,7.725980677989596,6.837237628509856,12.771899910730216,9.620347267649082,9.242458816781886
18,5.99798333,6.15402435824167,7.022413291205216,12.429342248668704,7.747478127085171,7.434848450712219
19,6.33136667,5.1755382913601595,6.796238703177731,12.553319612096528,6.453800882933046,6.280172823076544
20,6.6647,5.097825954218319,6.748425989116886,12.211135106132048,6.297149909156481,6.158832255743736
21,6.99818333,6.10621982747963,6.982886505966088,12.307773308599048,7.565031333536093,7.398603799440721
22,7.33136667,4.57003670804795,6.6097679390715385,12.26774589268322,5.813051349471586,5.469947587651332
23,7.66471667,4.968875367466305,6.8834130476685775,12.49964763925578,6.338632508490982,5.956905619791643
24,7.99798333,4.829232812861838,6.667416677000531,12.36644503650115,6.087038280918056,5.784127238241943
25,8.3314,5.772019645075338,6.44049163726765,11.941647251462774,7.269394167934762,6.881335554937431
26,8.6646,6.906684111298728,6.395821486733015,12.535263058581872,8.697442672550892,8.284714901282138
27,8.99811667,9.623707404289386,6.826373111333919,12.440959589577432,11.951544176099842,11.536763565288126
28,9.33138333,8.880735467865303,6.629476739041362,12.782880057839284,10.925388771368612,10.726413326784789
29,9.66485,8.630344287757557,7.104376704616267,12.358009219534939,10.694873241477788,10.419182174296738
30,9.99813333,8.058773694270077,6.439504114293072,11.730788182186663,9.887975334295001,9.772870769448492
31,10.33145,3.196679118406645,6.902777192398886,11.919587974130959,4.037660011513964,3.846701976875092
32,10.6647333,3.153224435850277,6.494149990369627,12.251701779399067,3.9596498618151035,3.91561476787826
33,10.9981333,0.3264630529070788,6.705173545787012,12.419929999754215,0.5128046602277679,0.3816188193941556
34,11.33145,2.221125739977978,6.792491381631745,12.042433781633385,2.636089220692773,2.757952654153315
35,11.6647833,0.24315135793239484,6.354404653586897,11.679039388129217,0.30433607639158,0.39672514347732674
36,11.9980667,0.8547328111080532,6.717716540101488,11.739009253681772,1.2901695194384954,1.507941955449632
37,12.33135,2.339129421497438,6.825314534666054,12.21355252218977,2.9855374119708555,2.9570340497799306
38,12.6646833,3.751781662338646,6.55257232352006,11.857415806647342,4.8121090686243635,4.91443237430701
39,12.998,6.235482708338935,6.623145877765144,11.415272148151491,7.737413554258704,7.321851815123432
40,13.3314,5.938129637714799,6.663240773654063,11.92116005635065,7.603300067720852,7.339328222837615
41,13.6646667,5.656635904638853,6.4297984536320865,11.617640843023517,7.068721294780098,6.935223286779939
42,13.9981,3.948608384671259,6.472028292392934,11.216820796560992,5.318607529567648,4.836452187034798
43,14.3314,5.679759840306103,6.359833984162762,11.467168904437973,7.005037008467079,7.367273554483599
44,14.6647,4.440093979576864,6.5974470402062435,11.891378122911043,5.669775194259075,5.552168042999531
45,14.9979667,4.946848063806352,6.38799596169526,10.921850313868104,6.440948026601589,5.860807872415015
